round,epochs,n_clients,imgsz,trainable_params,total_params,trainable_pct,comm_MB_this_round,total_steps_this_round,avg_box_loss,avg_cls_loss,avg_dfl_loss,evaluated,global_precision,global_recall,global_mAP50,global_mAP50_95,elapsed_seconds
1,2,19,960,9431662,9431662,100.0,1433.61,460,1.85434,1.84354,1.1493,True,0.4486,0.3999,0.3601,0.2045,2697
2,2,19,960,9431662,9431662,100.0,1433.61,460,1.69273,1.51413,1.07329,True,0.5366,0.4218,0.4067,0.2386,2699
3,2,19,960,9431662,9431662,100.0,1433.61,460,1.74194,1.57066,1.07906,True,0.4846,0.4061,0.3923,0.2337,2775
4,2,19,960,9431662,9431662,100.0,1433.61,460,1.63505,1.4297,1.04331,True,0.5145,0.394,0.3785,0.212,2806
5,2,19,960,9431662,9431662,100.0,1433.61,460,1.71126,1.3231,1.08027,True,0.4985,0.4196,0.4045,0.2366,2837
6,2,19,960,9431662,9431662,100.0,1433.61,460,1.61582,1.37651,1.04218,True,0.5322,0.4363,0.428,0.2516,2703
7,2,19,960,9431662,9431662,100.0,1433.61,460,1.60327,1.28035,1.0205,True,0.5229,0.4277,0.4217,0.251,2713
8,2,19,960,9431662,9431662,100.0,1433.61,460,1.63807,1.42093,1.05094,True,0.5218,0.452,0.4379,0.2597,2767
9,2,19,960,9431662,9431662,100.0,1433.61,460,1.59356,1.21363,1.00794,True,0.5266,0.4272,0.42,0.2501,2714
10,2,19,960,9431662,9431662,100.0,1433.61,460,1.54786,1.28482,1.02601,True,0.5368,0.4531,0.4398,0.2635,2872
11,2,19,960,9431662,9431662,100.0,1433.61,460,1.58431,1.28071,1.0139,True,0.5206,0.4289,0.4236,0.2543,2653
12,2,19,960,9431662,9431662,100.0,1433.61,460,1.55795,1.32845,1.02177,True,0.5378,0.453,0.4354,0.2586,2660
13,2,19,960,9431662,9431662,100.0,1433.61,460,1.63549,1.35496,1.02079,True,0.5187,0.429,0.4247,0.2531,2688
14,2,19,960,9431662,9431662,100.0,1433.61,460,1.55138,1.22751,1.02485,True,0.522,0.4384,0.4264,0.2496,2807
15,2,19,960,9431662,9431662,100.0,1433.61,460,1.66018,1.27352,1.03951,True,0.5192,0.4557,0.4386,0.2626,2808
16,2,19,960,9431662,9431662,100.0,1433.61,460,1.61121,1.27231,1.06426,True,0.5221,0.4364,0.422,0.2457,2844
17,2,19,960,9431662,9431662,100.0,1433.61,460,1.67148,1.25635,1.07553,True,0.5242,0.4502,0.436,0.2614,2815
18,2,19,960,9431662,9431662,100.0,1433.61,460,1.53062,1.2114,1.03031,True,0.5324,0.4376,0.4305,0.2522,2646
19,2,19,960,9431662,9431662,100.0,1433.61,460,1.59322,1.20646,1.03366,True,0.5175,0.4476,0.4335,0.2597,2698
20,2,19,960,9431662,9431662,100.0,1433.61,460,1.57945,1.23026,1.05525,True,0.515,0.4444,0.4239,0.2487,2710
21,2,19,960,9431662,9431662,100.0,1433.61,460,1.60586,1.21302,1.04782,True,0.5246,0.4332,0.4245,0.2537,2754
22,2,19,960,9431662,9431662,100.0,1433.61,460,1.47408,1.16474,0.99433,True,0.5098,0.4396,0.4216,0.2499,2739
23,2,19,960,9431662,9431662,100.0,1433.61,460,1.49419,1.16478,0.9905,True,0.5189,0.4342,0.4253,0.254,2744
24,2,19,960,9431662,9431662,100.0,1433.61,460,1.49905,1.1797,1.01658,True,0.5116,0.4304,0.4138,0.2444,2734
25,2,19,960,9431662,9431662,100.0,1433.61,460,1.55702,1.21612,1.01396,True,0.5195,0.4222,0.4177,0.2489,2667
26,2,19,960,9431662,9431662,100.0,1433.61,460,1.5512,1.20746,1.03637,True,0.5224,0.4301,0.4142,0.2413,2696
27,2,19,960,9431662,9431662,100.0,1433.61,460,1.61243,1.218,1.04352,True,0.5142,0.4341,0.4171,0.2502,2662
