round,epochs,n_clients,imgsz,trainable_params,total_params,trainable_pct,comm_MB_this_round,total_steps_this_round,avg_box_loss,avg_cls_loss,avg_dfl_loss,evaluated,global_precision,global_recall,global_mAP50,global_mAP50_95,elapsed_seconds
1,1,19,960,3989678,9431662,42.3,606.43,230,1.253,0.83356,0.90374,True,0.5574,0.4661,0.4547,0.2733,616
2,1,19,960,3989678,9431662,42.3,606.43,230,1.266,0.86503,0.90955,True,0.5509,0.4726,0.4545,0.2678,619
3,1,19,960,3989678,9431662,42.3,606.43,230,1.34328,0.87258,0.92252,True,0.5574,0.4659,0.4501,0.2652,616
4,1,19,960,3989678,9431662,42.3,606.43,230,1.42478,0.92976,0.94926,True,0.557,0.4698,0.4531,0.2698,618
5,1,19,960,3989678,9431662,42.3,606.43,230,1.30906,0.86223,0.92258,True,0.5493,0.4685,0.448,0.264,617
6,1,19,960,3989678,9431662,42.3,606.43,230,1.38511,0.87156,0.93131,True,0.5571,0.4675,0.453,0.2721,619
7,1,19,960,3989678,9431662,42.3,606.43,230,1.25196,0.87785,0.9089,True,0.5502,0.4711,0.452,0.272,614
8,1,19,960,3989678,9431662,42.3,606.43,230,1.23951,0.86825,0.90112,True,0.5606,0.465,0.4521,0.2704,611
9,1,19,960,3989678,9431662,42.3,606.43,230,1.26843,0.86742,0.9081,True,0.5403,0.4723,0.4488,0.2674,612
10,1,19,960,3989678,9431662,42.3,606.43,230,1.27892,0.85774,0.91124,True,0.5508,0.4709,0.4523,0.2692,613
11,1,19,960,3989678,9431662,42.3,606.43,230,1.28337,0.86098,0.91396,True,0.5485,0.4671,0.4474,0.2649,616
12,1,19,960,3989678,9431662,42.3,606.43,230,1.29848,0.84095,0.91436,True,0.5611,0.4647,0.4509,0.2686,608
13,1,19,960,3989678,9431662,42.3,606.43,230,1.27003,0.8425,0.91311,True,0.5567,0.4635,0.45,0.2674,610
14,1,19,960,3989678,9431662,42.3,606.43,230,1.28118,0.82798,0.91182,True,0.5569,0.4627,0.4487,0.2657,609
15,1,19,960,3989678,9431662,42.3,606.43,230,1.29769,0.84108,0.91797,True,0.5576,0.4613,0.4481,0.2661,611
16,1,19,960,3989678,9431662,42.3,606.43,230,1.26833,0.82195,0.90849,True,0.553,0.4586,0.4457,0.264,611
17,1,19,960,3989678,9431662,42.3,606.43,230,1.29284,0.83106,0.9139,True,0.5518,0.4607,0.447,0.2658,613
18,1,19,960,3989678,9431662,42.3,606.43,230,1.26555,0.81394,0.90946,True,0.5556,0.4541,0.4431,0.2611,610
19,1,19,960,3989678,9431662,42.3,606.43,230,1.2941,0.83869,0.91221,True,0.5549,0.4602,0.446,0.2654,612
20,1,19,960,3989678,9431662,42.3,606.43,230,1.25904,0.81934,0.90944,True,0.5619,0.448,0.4395,0.2587,617
21,1,19,960,3989678,9431662,42.3,606.43,230,1.29011,0.84928,0.91305,True,0.5525,0.4591,0.4436,0.2642,612
22,1,19,960,3989678,9431662,42.3,606.43,230,1.27639,0.82872,0.91593,True,0.5626,0.4478,0.439,0.2578,613
23,1,19,960,3989678,9431662,42.3,606.43,230,1.2851,0.83789,0.91309,True,0.552,0.4539,0.441,0.2628,609
24,1,19,960,3989678,9431662,42.3,606.43,230,1.27133,0.8215,0.91593,True,0.5637,0.4468,0.4387,0.2577,610
25,1,19,960,3989678,9431662,42.3,606.43,230,1.27044,0.82724,0.91349,True,0.5564,0.4498,0.4404,0.2621,612
26,1,19,960,3989678,9431662,42.3,606.43,230,1.29972,0.83731,0.92332,True,0.5491,0.4436,0.4323,0.2496,611
27,1,19,960,3989678,9431662,42.3,606.43,230,1.34236,0.85642,0.92498,True,0.55,0.4503,0.4388,0.2607,612
28,1,19,960,3989678,9431662,42.3,606.43,230,1.31822,0.83903,0.92988,True,0.5514,0.4477,0.4349,0.2541,613
29,1,19,960,3989678,9431662,42.3,606.43,230,1.30636,0.83859,0.91646,True,0.5561,0.4436,0.4358,0.2588,610
30,1,19,960,3989678,9431662,42.3,606.43,230,1.32071,0.83464,0.92455,True,0.5569,0.4484,0.4382,0.2598,612
31,1,19,960,3989678,9431662,42.3,606.43,230,1.26392,0.85519,0.91086,True,0.5431,0.451,0.4373,0.2606,612
32,1,19,960,3989678,9431662,42.3,606.43,230,1.28353,0.83487,0.91535,True,0.5535,0.4493,0.44,0.2613,609
33,1,19,960,3989678,9431662,42.3,606.43,230,1.27486,0.85,0.91333,True,0.5486,0.446,0.4327,0.2567,614
34,1,19,960,3989678,9431662,42.3,606.43,230,1.29546,0.84309,0.91404,True,0.5515,0.453,0.4377,0.2599,617
35,1,19,960,3989678,9431662,42.3,606.43,230,1.23973,0.84181,0.90558,True,0.5473,0.4486,0.4378,0.2617,619
36,2,19,960,3989678,9431662,42.3,606.43,460,1.39303,0.93623,0.95025,True,0.548,0.4558,0.4385,0.2583,641
37,2,19,960,3989678,9431662,42.3,606.43,460,1.3544,0.95653,0.94196,True,0.5444,0.4505,0.4374,0.2602,632
38,2,19,960,3989678,9431662,42.3,606.43,460,1.38389,0.91672,0.95367,True,0.5501,0.4535,0.4419,0.2598,631
39,2,19,960,3989678,9431662,42.3,606.43,460,1.3624,0.96069,0.94321,True,0.5308,0.4617,0.4427,0.2637,632
40,2,19,960,3989678,9431662,42.3,606.43,460,1.40405,0.91804,0.95465,True,0.5474,0.4532,0.4406,0.2602,633
41,2,19,960,3989678,9431662,42.3,606.43,460,1.37095,0.93872,0.94279,True,0.5312,0.4564,0.4417,0.2635,634
42,2,19,960,3989678,9431662,42.3,606.43,460,1.37816,0.90819,0.95369,True,0.5453,0.4512,0.4401,0.26,632
43,2,19,960,3989678,9431662,42.3,606.43,460,1.3593,0.90646,0.94147,True,0.535,0.454,0.4392,0.2622,631
44,2,19,960,3989678,9431662,42.3,606.43,460,1.36283,0.89328,0.94399,True,0.5387,0.4551,0.4382,0.2588,632
45,2,19,960,3989678,9431662,42.3,606.43,460,1.35192,0.90657,0.94007,True,0.5322,0.4522,0.437,0.2605,631
46,2,19,960,3989678,9431662,42.3,606.43,460,1.37715,0.90798,0.94808,True,0.5409,0.4504,0.4367,0.2583,634
47,2,19,960,3989678,9431662,42.3,606.43,460,1.33728,0.89644,0.93509,True,0.5412,0.4505,0.4364,0.2599,641
48,2,19,960,3989678,9431662,42.3,606.43,460,1.35124,0.90026,0.94103,True,0.5402,0.4472,0.436,0.2577,632
49,2,19,960,3989678,9431662,42.3,606.43,460,1.3298,0.89334,0.93221,True,0.5319,0.4513,0.4357,0.2591,632
50,2,19,960,3989678,9431662,42.3,606.43,460,1.36784,0.91525,0.9445,True,0.5472,0.4455,0.4327,0.2559,633
