round,epochs,n_clients,imgsz,trainable_params,total_params,trainable_pct,comm_MB_this_round,total_steps_this_round,avg_box_loss,avg_cls_loss,avg_dfl_loss,evaluated,global_precision,global_recall,global_mAP50,global_mAP50_95,elapsed_seconds
1,2,19,960,2334702,9431662,24.75,354.87,460,1.20637,0.79015,0.8945,True,0.5589,0.4656,0.4566,0.2738,899
2,2,19,960,2334702,9431662,24.75,354.87,460,1.20213,0.80944,0.89448,True,0.5579,0.4683,0.4572,0.2739,908
3,2,19,960,2334702,9431662,24.75,354.87,460,1.20863,0.79729,0.89543,True,0.5664,0.4651,0.4578,0.2739,899
4,2,19,960,2334702,9431662,24.75,354.87,460,1.201,0.80811,0.89483,True,0.5608,0.4652,0.4573,0.2739,895
5,2,19,960,2334702,9431662,24.75,354.87,460,1.20347,0.7901,0.89424,True,0.5629,0.4649,0.4571,0.273,883
6,2,19,960,2334702,9431662,24.75,354.87,460,1.19933,0.80324,0.89402,True,0.565,0.4621,0.4565,0.2732,873
7,2,19,960,2334702,9431662,24.75,354.87,460,1.20295,0.79025,0.89463,True,0.5636,0.4668,0.4572,0.273,964
8,2,19,960,2334702,9431662,24.75,354.87,460,1.1958,0.79992,0.89329,True,0.5621,0.465,0.4565,0.2729,889
9,2,19,960,2334702,9431662,24.75,354.87,460,1.19952,0.78776,0.89401,True,0.5641,0.4634,0.4568,0.2726,887
10,2,19,960,2334702,9431662,24.75,354.87,460,1.19509,0.79919,0.89303,True,0.5636,0.4623,0.4558,0.2727,885
11,2,19,960,2334702,9431662,24.75,354.87,460,1.20336,0.7917,0.89357,True,0.5642,0.4635,0.4561,0.2721,879
12,2,19,960,2334702,9431662,24.75,354.87,460,1.19374,0.79599,0.89255,True,0.5606,0.4647,0.455,0.2719,890
13,2,19,960,2334702,9431662,24.75,354.87,460,1.2007,0.78709,0.89342,True,0.5567,0.4666,0.4557,0.272,878
14,2,19,960,2334702,9431662,24.75,354.87,460,1.19128,0.79512,0.89252,True,0.5568,0.4636,0.4548,0.2716,939
15,2,19,960,2334702,9431662,24.75,354.87,460,1.19735,0.78549,0.89241,True,0.5595,0.462,0.4551,0.2714,910
16,2,19,960,2334702,9431662,24.75,354.87,460,1.19105,0.79499,0.89153,True,0.5616,0.4623,0.4546,0.2722,894
17,2,19,960,2334702,9431662,24.75,354.87,460,1.19319,0.78071,0.89201,True,0.5615,0.4621,0.4551,0.2711,904
18,2,19,960,2334702,9431662,24.75,354.87,460,1.18685,0.7859,0.89082,True,0.5594,0.4632,0.4542,0.2717,864
19,2,19,960,2334702,9431662,24.75,354.87,460,1.19473,0.78214,0.89191,True,0.5608,0.4636,0.4538,0.2709,883
20,2,19,960,2334702,9431662,24.75,354.87,460,1.18786,0.78758,0.89109,True,0.562,0.4599,0.4531,0.2712,877
21,2,19,960,2334702,9431662,24.75,354.87,460,1.19028,0.77782,0.89157,True,0.5576,0.4637,0.4541,0.2715,851
22,2,19,960,2334702,9431662,24.75,354.87,460,1.18657,0.78588,0.89043,True,0.5589,0.4615,0.4521,0.2707,849
23,2,19,960,2334702,9431662,24.75,354.87,460,1.19292,0.78054,0.89181,True,0.5571,0.4636,0.4524,0.2709,854
24,2,19,960,2334702,9431662,24.75,354.87,460,1.18735,0.78761,0.89053,True,0.559,0.4611,0.4518,0.2701,846
25,2,19,960,2334702,9431662,24.75,354.87,460,1.19212,0.77997,0.89136,True,0.5606,0.4614,0.4523,0.2702,836
26,2,19,960,2334702,9431662,24.75,354.87,460,1.18473,0.78601,0.89036,True,0.5542,0.463,0.4505,0.2696,869
27,2,19,960,2334702,9431662,24.75,354.87,460,1.18851,0.77804,0.89059,True,0.5581,0.4626,0.451,0.2702,862
28,2,19,960,2334702,9431662,24.75,354.87,460,1.18468,0.78572,0.89009,True,0.5505,0.4645,0.4513,0.27,840
29,2,19,960,2334702,9431662,24.75,354.87,460,1.18689,0.77861,0.89021,True,0.5586,0.4602,0.4502,0.2694,843
30,2,19,960,2334702,9431662,24.75,354.87,460,1.18362,0.78279,0.89021,True,0.5544,0.4638,0.4504,0.2696,841
31,2,19,960,2334702,9431662,24.75,354.87,460,1.18672,0.77985,0.89029,True,0.5615,0.4594,0.4501,0.2689,875
32,2,19,960,2334702,9431662,24.75,354.87,460,1.18323,0.78308,0.89007,True,0.552,0.4639,0.4497,0.2696,863
33,2,19,960,2334702,9431662,24.75,354.87,460,1.18675,0.77966,0.8901,True,0.5584,0.4599,0.4503,0.2692,876
34,2,19,960,2334702,9431662,24.75,354.87,460,1.1812,0.77849,0.88932,True,0.5522,0.463,0.4491,0.2689,836
35,2,19,960,2334702,9431662,24.75,354.87,460,1.18523,0.77714,0.88988,True,0.5603,0.4592,0.4491,0.2687,834
36,2,19,960,2334702,9431662,24.75,354.87,460,1.18094,0.78138,0.88933,True,0.5562,0.4607,0.4487,0.2686,832
37,2,19,960,2334702,9431662,24.75,354.87,460,1.18563,0.7771,0.89003,True,0.5567,0.4574,0.4483,0.2686,833
38,2,19,960,2334702,9431662,24.75,354.87,460,1.18247,0.78085,0.88942,True,0.5557,0.4614,0.449,0.2681,842
39,2,19,960,2334702,9431662,24.75,354.87,460,1.18321,0.77758,0.88929,True,0.5565,0.458,0.4492,0.2684,850
40,2,19,960,2334702,9431662,24.75,354.87,460,1.18223,0.77957,0.88923,True,0.5519,0.4627,0.4483,0.2673,861
41,2,19,960,2334702,9431662,24.75,354.87,460,1.18273,0.77693,0.88906,True,0.5502,0.4613,0.4468,0.2668,906
42,2,19,960,2334702,9431662,24.75,354.87,460,1.17957,0.78038,0.88897,True,0.5523,0.4617,0.4492,0.2683,920
43,2,19,960,2334702,9431662,24.75,354.87,460,1.18283,0.77782,0.88896,True,0.5528,0.4587,0.4455,0.2667,912
