epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,279.155,2.51015,2.80622,1.04816,0.41518,0.08914,0.05359,0.02756,2.18961,1.83378,0.96333,0.000237963,0.000237963,0.000237963
2,544.47,2.35737,2.11676,0.98386,0.33796,0.10699,0.0668,0.03405,2.13262,1.75631,0.93617,0.000318895,0.000318895,0.000318895
3,807.844,2.29234,1.97953,0.96477,0.45362,0.11858,0.07906,0.04044,2.09085,1.65045,0.91856,0.000242747,0.000242747,0.000242747
