frame,found,track_id,class,confidence,x1,y1,x2,y2,center_x,center_y
114,1,15,motor,0.596,1096,720,1168,858,1132,789
115,1,15,motor,0.649,1097,727,1167,862,1132,794
116,1,15,motor,0.616,1096,729,1169,869,1132,799
117,1,15,motor,0.641,1095,734,1168,875,1131,804
118,1,15,motor,0.645,1095,739,1168,880,1131,809
119,1,15,motor,0.674,1098,745,1170,883,1134,814
120,1,15,motor,0.584,1098,747,1172,890,1135,818
121,1,15,motor,0.562,1099,753,1173,897,1136,825
122,1,15,motor,0.658,1101,762,1175,904,1138,833
123,1,15,motor,0.537,1101,761,1177,908,1139,834
124,1,15,tricycle,0.377,1101,766,1177,915,1139,840
125,1,15,motor,0.536,1103,773,1179,921,1141,847
126,1,15,motor,0.51,1103,779,1180,928,1141,853
127,1,15,motor,0.658,1104,786,1181,934,1142,860
128,1,15,motor,0.587,1105,793,1181,939,1143,866
129,1,15,motor,0.664,1107,803,1181,945,1144,874
130,1,15,motor,0.545,1108,813,1181,953,1144,883
131,1,15,motor,0.633,1109,819,1183,960,1146,889
132,1,15,motor,0.395,1110,819,1187,967,1148,893
133,1,15,motor,0.545,1112,819,1191,973,1151,896
134,1,15,motor,0.419,1113,824,1194,981,1153,902
135,0,15,motor,,,,,,,
136,1,15,people,0.506,1124,820,1191,946,1157,883
137,1,15,people,0.511,1126,818,1190,937,1158,877
138,1,15,people,0.511,1126,820,1189,934,1157,877
139,0,15,motor,,,,,,,
140,0,15,motor,,,,,,,
141,0,15,motor,,,,,,,
142,0,15,motor,,,,,,,
143,0,15,motor,,,,,,,
144,0,15,motor,,,,,,,
145,1,15,people,0.468,1134,824,1206,959,1170,891
146,0,15,motor,,,,,,,
147,0,15,motor,,,,,,,
148,0,15,motor,,,,,,,
149,0,15,motor,,,,,,,
150,0,15,motor,,,,,,,
151,0,15,motor,,,,,,,
152,0,15,motor,,,,,,,
153,0,15,motor,,,,,,,
154,0,15,motor,,,,,,,
155,0,15,motor,,,,,,,
156,0,15,motor,,,,,,,
157,0,15,motor,,,,,,,
158,0,15,motor,,,,,,,
159,0,15,motor,,,,,,,
160,0,15,motor,,,,,,,
161,0,15,motor,,,,,,,
162,0,15,motor,,,,,,,
163,0,15,motor,,,,,,,
164,0,15,motor,,,,,,,
165,0,15,motor,,,,,,,
166,0,15,motor,,,,,,,
167,0,15,motor,,,,,,,
168,0,15,motor,,,,,,,
169,0,15,motor,,,,,,,
170,0,15,motor,,,,,,,
171,0,15,motor,,,,,,,
172,0,15,motor,,,,,,,
173,0,15,motor,,,,,,,
174,0,15,motor,,,,,,,
175,0,15,motor,,,,,,,
176,0,15,motor,,,,,,,
177,0,15,motor,,,,,,,
178,0,15,motor,,,,,,,
179,0,15,motor,,,,,,,
180,0,15,motor,,,,,,,
181,0,15,motor,,,,,,,
182,0,15,motor,,,,,,,
183,0,15,motor,,,,,,,
184,0,15,motor,,,,,,,
185,0,15,motor,,,,,,,
186,0,15,motor,,,,,,,
187,0,15,motor,,,,,,,
188,0,15,motor,,,,,,,
189,0,15,motor,,,,,,,
190,0,15,motor,,,,,,,
191,0,15,motor,,,,,,,
192,0,15,motor,,,,,,,
193,0,15,motor,,,,,,,
194,0,15,motor,,,,,,,
195,0,15,motor,,,,,,,
196,0,15,motor,,,,,,,
197,0,15,motor,,,,,,,
198,0,15,motor,,,,,,,
199,0,15,motor,,,,,,,
200,0,15,motor,,,,,,,
201,0,15,motor,,,,,,,
202,0,15,motor,,,,,,,
203,0,15,motor,,,,,,,
204,0,15,motor,,,,,,,
205,0,15,motor,,,,,,,
206,0,15,motor,,,,,,,
207,0,15,motor,,,,,,,
208,0,15,motor,,,,,,,
209,0,15,motor,,,,,,,
210,0,15,motor,,,,,,,
211,0,15,motor,,,,,,,
212,0,15,motor,,,,,,,
213,0,15,motor,,,,,,,
214,0,15,motor,,,,,,,
215,0,15,motor,,,,,,,
216,0,15,motor,,,,,,,
217,0,15,motor,,,,,,,
218,0,15,motor,,,,,,,
219,0,15,motor,,,,,,,
220,0,15,motor,,,,,,,
221,0,15,motor,,,,,,,
222,0,15,motor,,,,,,,
223,0,15,motor,,,,,,,
224,0,15,motor,,,,,,,
225,0,15,motor,,,,,,,
226,0,15,motor,,,,,,,
227,0,15,motor,,,,,,,
228,0,15,motor,,,,,,,
229,0,15,motor,,,,,,,
230,0,15,motor,,,,,,,
231,0,15,motor,,,,,,,
232,0,15,motor,,,,,,,
233,0,15,motor,,,,,,,
234,0,15,motor,,,,,,,
235,0,15,motor,,,,,,,
236,0,15,motor,,,,,,,
237,0,15,motor,,,,,,,
238,0,15,motor,,,,,,,
239,0,15,motor,,,,,,,
240,0,15,motor,,,,,,,
241,0,15,motor,,,,,,,
242,0,15,motor,,,,,,,
243,0,15,motor,,,,,,,
244,0,15,motor,,,,,,,
245,0,15,motor,,,,,,,
246,0,15,motor,,,,,,,
247,0,15,motor,,,,,,,
248,0,15,motor,,,,,,,
249,0,15,motor,,,,,,,
250,0,15,motor,,,,,,,
251,0,15,motor,,,,,,,
252,0,15,motor,,,,,,,
253,0,15,motor,,,,,,,
254,0,15,motor,,,,,,,
255,0,15,motor,,,,,,,
256,0,15,motor,,,,,,,
257,0,15,motor,,,,,,,
258,0,15,motor,,,,,,,
259,0,15,motor,,,,,,,
260,0,15,motor,,,,,,,
261,0,15,motor,,,,,,,
262,0,15,motor,,,,,,,
263,0,15,motor,,,,,,,
264,0,15,motor,,,,,,,
265,0,15,motor,,,,,,,
266,0,15,motor,,,,,,,
267,0,15,motor,,,,,,,
268,0,15,motor,,,,,,,
269,0,15,motor,,,,,,,
270,0,15,motor,,,,,,,
271,0,15,motor,,,,,,,
272,0,15,motor,,,,,,,
273,0,15,motor,,,,,,,
274,0,15,motor,,,,,,,
275,0,15,motor,,,,,,,
276,0,15,motor,,,,,,,
277,0,15,motor,,,,,,,
278,0,15,motor,,,,,,,
279,0,15,motor,,,,,,,
280,0,15,motor,,,,,,,
281,0,15,motor,,,,,,,
282,0,15,motor,,,,,,,
283,0,15,motor,,,,,,,
284,0,15,motor,,,,,,,
285,0,15,motor,,,,,,,
286,0,15,motor,,,,,,,
287,0,15,motor,,,,,,,
288,0,15,motor,,,,,,,
289,0,15,motor,,,,,,,
290,0,15,motor,,,,,,,
291,0,15,motor,,,,,,,
292,0,15,motor,,,,,,,
293,0,15,motor,,,,,,,
294,0,15,motor,,,,,,,
295,0,15,motor,,,,,,,
296,0,15,motor,,,,,,,
297,0,15,motor,,,,,,,
298,0,15,motor,,,,,,,
299,0,15,motor,,,,,,,
300,0,15,motor,,,,,,,
301,0,15,motor,,,,,,,
302,0,15,motor,,,,,,,
303,0,15,motor,,,,,,,
304,0,15,motor,,,,,,,
305,0,15,motor,,,,,,,
306,0,15,motor,,,,,,,
307,0,15,motor,,,,,,,
308,0,15,motor,,,,,,,
309,0,15,motor,,,,,,,
310,0,15,motor,,,,,,,
311,0,15,motor,,,,,,,
312,0,15,motor,,,,,,,
313,0,15,motor,,,,,,,
314,0,15,motor,,,,,,,
315,0,15,motor,,,,,,,
316,0,15,motor,,,,,,,
317,0,15,motor,,,,,,,
318,0,15,motor,,,,,,,
319,0,15,motor,,,,,,,
320,0,15,motor,,,,,,,
321,0,15,motor,,,,,,,
322,0,15,motor,,,,,,,
323,0,15,motor,,,,,,,
324,0,15,motor,,,,,,,
325,0,15,motor,,,,,,,
326,0,15,motor,,,,,,,
327,0,15,motor,,,,,,,
328,0,15,motor,,,,,,,
329,0,15,motor,,,,,,,
330,0,15,motor,,,,,,,
331,0,15,motor,,,,,,,
332,0,15,motor,,,,,,,
333,0,15,motor,,,,,,,
334,0,15,motor,,,,,,,
335,0,15,motor,,,,,,,
336,0,15,motor,,,,,,,
337,0,15,motor,,,,,,,
338,0,15,motor,,,,,,,
339,0,15,motor,,,,,,,
340,0,15,motor,,,,,,,
341,0,15,motor,,,,,,,
342,0,15,motor,,,,,,,
343,0,15,motor,,,,,,,
