frame,found,candidate_id,class,x1,y1,x2,y2,center_x,center_y
128,1,28,pedestrian,1312,405,1400,554,1356,479
129,1,28,pedestrian,1230,397,1318,546,1274,471
130,1,28,pedestrian,1156,383,1244,532,1200,457
131,1,28,pedestrian,1080,379,1168,528,1124,453
132,1,28,pedestrian,1069,377,1155,523,1112,450
133,1,28,pedestrian,1077,380,1163,526,1120,453
134,1,28,pedestrian,1079,384,1165,530,1122,457
135,1,28,pedestrian,1085,380,1173,529,1129,454
136,1,28,pedestrian,1089,385,1175,531,1132,458
137,1,28,pedestrian,1099,380,1185,526,1142,453
138,1,28,pedestrian,1107,380,1195,529,1151,454
139,1,28,pedestrian,1134,381,1224,533,1179,457
140,1,28,pedestrian,1145,384,1235,536,1190,460
141,1,28,pedestrian,1156,377,1244,526,1200,451
142,1,28,pedestrian,1158,379,1248,531,1203,455
143,1,28,pedestrian,1164,377,1254,529,1209,453
144,1,28,pedestrian,1167,385,1257,537,1212,461
145,1,28,pedestrian,1173,381,1263,533,1218,457
146,1,28,pedestrian,1181,382,1271,534,1226,458
